path_id;WKT;lvl
0;LINESTRING (421653.296538934 5459453.99189955,421667.944260185 5459419.63658349,421666.251257508 5459394.75406104,421670.835048598 5459370.32693194,421673.881597815 5459343.6867848,421680.914863422 5459289.50358403,421687.724724507 5459276.3083465,421695.387960809 5459258.16411156,421697.789220681 5459249.02341947,421698.213319543 5459236.91986944,421701.102080014 5459214.50722849,421701.496886948 5459207.4966142,421694.18418353 5459194.08002538,421683.826280981 5459186.47760432,421666.566901802 5459158.08086924,421667.819879145 5459070.90091173,421654.977326371 5459046.18839264,421635.982889817 5459027.7791246,421602.10238735 5459000.55351424,421591.662074373 5458975.98478463,421574.421935836 5458957.68413002,421568.003896044 5458945.32236413);A
1;LINESTRING (423032.402195235 5457418.44292003,423038.116781419 5457420.17534788,423041.919568667 5457422.56830817,423045.038446884 5457424.4482491,423048.600903105 5457427.86751818,423050.879218374 5457431.56048896,423055.075076404 5457435.00425809,423059.62199473 5457435.97471636,423064.475517808 5457433.89430199,423066.788030892 5457430.14823396,423065.885480775 5457423.36718882,423066.506323499 5457420.41198802,423067.188912514 5457417.18906932,423066.042962004 5457414.33641206,423064.693296063 5457408.88477385,423064.4698098 5457406.95320523,423065.429047209 5457404.26012582,423066.54908626 5457401.0978024,423066.237208951 5457399.08963747,423063.969522293 5457394.59594858,423062.157751827 5457390.96316046,423061.080740213 5457384.19567537,423060.102536251 5457378.24960951,423060.219332535 5457374.63432255,423060.936189819 5457372.30043869,423061.609469667 5457363.72944307,423061.897511783 5457358.31049394,423062.63420191 5457353.75254649,423061.633482239 5457346.71714008,423063.757676827 5457340.95006045,423065.412962522 5457337.03528276,423067.067285715 5457332.53121572,423068.889502974 5457327.02409731,423074.315484237 5457321.1218948,423077.7135141 5457317.98331326,423080.330379044 5457313.62145582,423080.032558264 5457308.45531742,423075.566717313 5457295.59756886,423076.305854509 5457287.57048354,423075.037538388 5457273.36710736,423076.196042571 5457265.66772582,423073.287420737 5457258.01410055,423070.088275029 5457256.12414566,423063.613732537 5457248.45368202,423065.789927839 5457244.32036056,423066.492163787 5457243.02074341,423065.223417767 5457232.43102802,423064.133145362 5457209.1076419);B
2;LINESTRING (408982.366839655 5452843.19930707,408984.078456585 5452833.94175631,408983.516662612 5452818.89509561,408983.67907023 5452793.01709649,408991.46360164 5452775.28615601,409002.214490776 5452757.22823802,409012.338506341 5452741.78268369,409015.002535843 5452739.47028544,409020.111849697 5452736.59488273,409025.608195013 5452731.13334646,409032.436419285 5452727.3733606,409035.968266981 5452723.80124793,409042.173537596 5452715.83723338,409045.335805755 5452713.26087349,409052.217169041 5452711.83515131,409059.852276501 5452711.06417096,409066.441242215 5452714.86950384,409077.812574539 5452714.0813557,409086.555255905 5452710.69014724,409107.98313639 5452705.35498875,409136.33525484 5452700.30600871,409156.01650991 5452693.28743131,409181.785606906 5452688.83726271,409190.615633448 5452685.87844645,409197.389378508 5452680.12916178,409202.83345371 5452668.83088738,409202.715320016 5452660.33746951,409203.846775024 5452657.39437001,409206.206557182 5452655.17603906,409210.788557339 5452654.76693791,409213.57860922 5452655.23245939,409216.483382101 5452654.26166511,409222.780444886 5452648.75378039,409226.798375854 5452643.72823971,409235.406917552 5452631.29926105,409242.389523529 5452615.67240337,409245.77770646 5452607.78839986,409247.720783426 5452603.26407911,409252.586447039 5452583.81361451,409258.529016276 5452572.69622459,409292.425823398 5452528.77165263,409306.268985441 5452508.2060383,409318.128207007 5452499.86017434,409326.590488242 5452490.02462225,409334.636880115 5452483.24269229,409351.838551412 5452464.46778266,409373.606291347 5452439.86900002,409379.154585131 5452431.32686116,409381.931785013 5452421.26244641,409387.268512616 5452417.12714732,409406.177139871 5452398.4800208,409417.657623029 5452383.02408639,409428.116526606 5452365.23874282,409458.146384415 5452330.07435073,409468.840636684 5452313.74188812,409482.989254514 5452297.06358768,409526.892443426 5452259.4477803,409555.196564417 5452234.89811549,409570.248981011 5452222.21937888,409582.185500695 5452208.31306855);C
3;LINESTRING (427719.448112168 5454974.3785058,427709.555301072 5454970.51680856,427675.123995776 5454962.87468031,427656.308621538 5454955.31660825,427639.809012334 5454952.80939179,427622.123031472 5454950.87375625);A
4;LINESTRING (430702.724348645 5451634.89856699,430697.140565914 5451634.55740306,430689.668669322 5451630.03720888,430685.896838844 5451625.50383879,430683.678964551 5451617.69321147,430679.113858559 5451605.68709078,430672.249724591 5451594.47707084,430665.012651936 5451588.36401266,430660.003695952 5451582.18957214,430647.750330207 5451569.90219203,430634.305375258 5451552.64875988,430616.930112683 5451532.17600961,430600.736614339 5451519.94945755,430588.021091144 5451502.21997201,430580.426939788 5451496.11151863,430556.225907932 5451488.9225725,430545.731140491 5451489.05482841,430535.905128354 5451486.18780399,430525.397466555 5451485.87552187,430514.25661582 5451486.76092074,430505.443497333 5451485.66013576,430498.973694617 5451486.11975423,430492.415327226 5451483.02258361,430478.825577384 5451475.71126588,430474.006019073 5451473.60396348,430464.967744316 5451469.6708704,430461.661183138 5451465.66546501,430452.970354488 5451460.98306876,430444.420437622 5451451.30670899,430435.074252797 5451447.22189126,430433.345634218 5451446.46541802,430428.675932467 5451445.84613939,430423.894362651 5451446.75150917,430418.110184056 5451444.97886911,430410.610342377 5451445.20698912,430394.761525418 5451442.4496241,430388.033982307 5451443.26841866,430377.252818654 5451446.68456411,430362.717212776 5451448.70276801,430351.354606015 5451449.91373318,430345.431512065 5451452.71262245,430340.360161165 5451453.16586979,430335.491336132 5451456.96322623,430327.080301999 5451460.59411745,430306.938487924 5451462.23861004,430300.617253533 5451465.23159761,430286.794825156 5451474.10109154,430269.03206384 5451482.99824072,430265.283409141 5451487.81550697,430257.707335845 5451491.22468947,430254.141830398 5451494.97227073,430253.042011424 5451500.73445012,430250.333613114 5451506.01665678);C
5;LINESTRING (419608.4033218 5454504.19530397,419615.277949441 5454501.8155227,419622.909436395 5454488.93943366,419639.575190881 5454482.46949052,419644.506370168 5454470.14432367,419668.878527013 5454440.94585621,419675.577889926 5454438.02387681,419677.572265924 5454434.49228077,419680.451791795 5454430.74762999,419687.59187452 5454425.09506958,419699.872093118 5454419.4342647,419699.220115457 5454412.17191613,419707.885969053 5454406.29698805,419719.154563752 5454399.66138528,419720.68007362 5454391.93364305,419723.672730892 5454388.45422402,419731.463472505 5454386.97299803,419732.679019143 5454383.45277787,419738.877970166 5454379.65976897,419748.380821836 5454378.25368129,419748.777402283 5454368.99685584,419757.903716666 5454368.73041581,419758.186872681 5454364.67895717,419760.068229421 5454359.88146953,419762.081308569 5454357.12796711,419770.201353603 5454358.7553306,419772.637326396 5454358.04157398,419777.359395058 5454343.32899168,419784.394329654 5454343.93811572,419784.826758753 5454336.63772411,419791.836547262 5454322.0252562,419799.967673326 5454326.41002533,419801.271968584 5454325.97962281,419801.793274294 5454321.78015124,419804.903496765 5454320.86756503,419806.004559188 5454315.98138843,419808.051678244 5454315.56240672,419817.28196922 5454318.43012236,419818.411145569 5454309.47397052,419819.939148788 5454307.40581599,419832.361686944 5454308.49250191,419838.935319443 5454310.9208164,419840.983899149 5454310.60189713,419840.792651835 5454304.46697199,419842.742394137 5454303.86039735,419849.314732605 5454306.19979076,419851.643001272 5454305.08735244,419853.510383172 5454299.32274688,419856.343365646 5454299.37046304,419868.019536351 5454303.20337659,419869.946309675 5454301.51859934,419868.63002637 5454298.12421098,419868.488477637 5454295.40210688,419871.108253955 5454293.80731606,419882.803841465 5454292.46962647,419885.567115114 5454286.22499761,419899.818148486 5454278.3677657,419901.727854548 5454262.99571638,419902.461987088 5454254.40114217,419900.358106882 5454243.91314073,419901.21324084 5454235.62813936,419906.763203442 5454221.23721,419907.373618027 5454209.64229789,419906.925548231 5454205.36798753,419908.330683346 5454201.35581582,419909.527837945 5454189.55222746,419915.719630148 5454172.22766885,419920.934642862 5454161.83336182,419926.60243143 5454155.03504234,419950.314363651 5454107.26761054,419957.880621187 5454090.31229217,419969.577925996 5454054.99502452,419970.017317923 5454045.1482992,419969.379641354 5454034.83910966,419973.715668101 5454024.06846981,419975.281881437 5454011.09204242,419982.698637049 5453990.34735093,419984.134719492 5453981.94273795,419994.550081181 5453952.58172625,420015.098178307 5453894.93130578,420017.572376131 5453883.79858506,420019.085116339 5453873.64718488,420014.781511832 5453862.6017891,420023.94153664 5453845.045244,420030.538602683 5453842.03625568,420033.132961986 5453839.17435049,420035.290519779 5453826.28943312,420050.873378987 5453806.24908749,420059.730235244 5453794.37882843,420066.539357631 5453785.9073695,420069.381420358 5453779.53939686,420072.81555869 5453774.33032946,420077.904221297 5453761.20275045,420089.179762902 5453750.90969906,420107.803357252 5453742.17791931,420128.017392753 5453728.630842);A
6;LINESTRING (427366.58527543 5453260.33248955,427378.999606402 5453260.78031837,427394.490135242 5453262.57745475,427408.831084967 5453265.00131119,427422.68229689 5453268.94379457,427439.295786359 5453273.07229409,427454.978563502 5453276.20130461,427461.355574818 5453282.68843686,427473.874345309 5453286.6485958,427484.466435423 5453289.73353857,427502.927656845 5453298.70786853,427505.804340281 5453300.39339488,427514.56875319 5453307.36062185,427522.674908035 5453310.78967586,427528.540037658 5453311.03493968,427533.551369152 5453310.03503613,427541.816600014 5453307.29117612,427546.790249144 5453306.74764498,427555.78762755 5453309.28665048,427566.87379969 5453311.74260688,427574.235217651 5453314.46993677,427581.36804119 5453314.76529879,427588.806703052 5453316.16851357,427605.257963542 5453319.61028464,427614.881740859 5453329.36827039,427619.856710239 5453336.12973625,427619.609724105 5453348.91942215,427622.533065576 5453356.93090323,427625.538360313 5453364.52991903,427628.929916492 5453378.25023354,427638.207853007 5453383.86554806,427651.160419439 5453386.50840303,427659.276177662 5453387.35800262,427664.01127857 5453387.50706492,427666.769129036 5453387.35965813,427669.170430903 5453384.45951198,427671.715796484 5453383.10296628,427681.436061038 5453380.2623761,427690.136676459 5453379.06963044,427696.34645285 5453381.72329126,427702.399360777 5453382.9669508,427709.658424996 5453386.78542856,427712.425674012 5453389.57324229,427715.787980577 5453390.54090921,427721.697236877 5453389.16247601,427726.301894774 5453390.46964213,427731.964809264 5453390.29526567,427735.841180612 5453387.70935362,427749.224201585 5453380.42896456,427758.609363261 5453380.35032974,427765.254682023 5453377.90601863,427771.862335967 5453378.14180118,427777.194854086 5453376.64868662,427779.193149262 5453372.44187549,427781.995827193 5453370.15916057,427786.265828802 5453368.15741128,427800.527277602 5453346.22238936,427802.041150703 5453341.72173445,427806.185502107 5453337.90931096,427821.553735805 5453334.29446825,427824.040614795 5453331.2487285,427831.570191086 5453332.37311192,427833.352188515 5453333.32820218,427838.952289734 5453342.24980226,427844.842140119 5453351.61235712,427852.244571525 5453358.04202179,427861.443240709 5453359.28912329,427869.428828685 5453357.42779122,427880.78224914 5453356.95667387,427884.816986343 5453355.33611615,427887.125494662 5453356.46222767,427890.948946158 5453355.9451854,427894.380533606 5453359.42486461,427907.248889583 5453358.42251163,427916.893938859 5453350.37980637,427921.675949777 5453350.21715508,427927.00139046 5453349.29132985,427940.803209872 5453353.40252875,427945.269220001 5453354.68945402,427950.328342877 5453353.44469523,427957.689504324 5453356.17253538,427963.61434645 5453359.31944167,427971.628782787 5453365.22980197,427974.300870296 5453365.76190744,427978.305887144 5453365.76512692,427981.325669883 5453367.27112831,427987.523442222 5453360.66345498,427992.923885164 5453353.22119759,427997.101707216 5453349.17499169,427999.017859684 5453352.59671599,428001.418855208 5453351.8870925,428003.444781054 5453344.76692575,428006.088528252 5453338.11678498,428012.258824111 5453332.18773651,428020.682754827 5453326.52944543,428025.754139069 5453325.66262991,428029.184616783 5453325.16193834,428031.739140966 5453327.84150269,428035.195709563 5453331.00961991,428038.887049221 5453337.09886998,428041.593361373 5453346.3809183,428042.157755469 5453350.56526582,428042.065376604 5453352.41216439,428041.443551669 5453354.42164097,428041.138585101 5453356.16013082,428040.873362016 5453358.1538298,428042.095311706 5453358.60484708,428044.691975235 5453358.93783678,428046.043572439 5453362.06674959);A
7;LINESTRING (428264.110818369 5453792.51471519,428246.046385021 5453774.64894372,428240.774636241 5453768.49120694,428230.399088647 5453761.24365119,428222.504806721 5453756.66559876,428220.038513166 5453756.26411849,428216.048419994 5453757.38351618,428213.916178786 5453758.58988471,428213.50802942 5453759.11778047,428203.926809949 5453771.47317231,428200.14353526 5453771.70039554,428194.411398469 5453772.1198118,428178.662549825 5453773.27026824,428168.025646579 5453775.57713668,428163.877825727 5453775.2087342,428155.888959353 5453777.33654205,428153.481602396 5453774.75507191,428150.472464623 5453769.57969553,428145.787711447 5453756.52083994,428142.963831783 5453740.99160865,428142.759151661 5453722.51512204,428141.531480068 5453709.90038164,428139.558470858 5453703.22159505,428136.828156094 5453697.09750403,428135.877736389 5453695.68672221,428134.229271312 5453694.90769285,428131.920295807 5453695.40480709,428130.124817867 5453696.75135515,428124.329279352 5453700.12922478,428120.76565986 5453703.80040901,428116.629800195 5453704.91066216,428112.35658976 5453700.5189908,428105.217798677 5453695.82005453,428101.327131091 5453693.4025131,428100.072586672 5453694.3528569,428098.752819304 5453698.67299682,428098.581809399 5453703.97881513,428094.424536651 5453709.02535906,428093.172866227 5453714.65660963,428087.903108023 5453718.70588975,428081.553961789 5453720.38988452,428079.361419341 5453722.55329501,428077.02916791 5453722.93955033,428075.051545195 5453724.8333086,428069.166114971 5453727.45634507,428062.250099515 5453730.89339168,428056.980379326 5453734.94270187,428053.782245744 5453735.37363496,428050.901601589 5453733.35432312,428048.943523069 5453730.05543512,428045.817170849 5453730.40760451,428043.245973369 5453731.45299556,428040.137215861 5453732.59436113,428039.327438729 5453730.80372423,428040.811157266 5453724.54678447,428040.382300306 5453721.81720503,428042.230050728 5453719.45814855,428042.72812074 5453715.78249234,428041.495893663 5453711.19548007,428043.743889628 5453709.37600731,428050.131199424 5453707.26896246,428054.817698144 5453706.50726154,428054.583357455 5453704.17541068,428049.428987247 5453697.54933541,428045.169929055 5453690.34451651,428040.455074985 5453689.49439442,428036.038753572 5453686.97258066,428033.663036629 5453684.59088298,428032.497041269 5453685.07310273,428030.527506715 5453684.24270665,428031.130060817 5453682.43361402,428034.717734499 5453681.16368077,428036.308189794 5453679.73083131,428037.402017183 5453677.6262354,428041.460630702 5453674.50446019,428041.395306783 5453672.84863785,428040.110391283 5453672.03153004,428038.260659363 5453672.01122572,428036.214056819 5453672.52718886,428034.067728587 5453672.6553039,428032.283567047 5453670.96635015,428029.956235995 5453671.73059409,428027.599978105 5453670.83854109,428026.822650574 5453669.30321034,428028.575481483 5453666.923153,428031.132033938 5453664.75496554,428032.997718523 5453662.09546914,428033.703231504 5453659.80693037,428033.174059668 5453656.64503589,428032.889054475 5453653.78015372,428031.542002473 5453651.55179377,428028.203335122 5453646.24736386,428027.570654757 5453642.40858617,428028.923150596 5453637.81003516,428030.023345081 5453632.29193544,428031.198553166 5453630.84227427,428031.591005702 5453629.11375803,428030.598288603 5453623.91209364,428028.973322052 5453624.93400599,428027.460738989 5453626.75499148,428025.413393968 5453627.21537479,428023.086335686 5453628.00185488,428016.086733764 5453617.25267673,428013.246355664 5453609.40669464,428010.270015258 5453605.64302854,428007.276373503 5453594.98603931,428003.531714161 5453577.56762382,428000.546539369 5453570.90211562,427996.586027 5453567.05125542,427991.834153097 5453562.82159289,427993.897068591 5453557.4243222,428000.757561625 5453551.39727983,428002.958774311 5453547.66599938,428003.113923628 5453544.49516168,428007.212041625 5453537.14776813,428010.146962391 5453533.84052635,428010.537586111 5453529.74376482,428018.110268988 5453514.13429713,428026.37144154 5453483.22773077,428031.696365428 5453471.68372192,428034.811347768 5453467.10661837,428036.891664866 5453461.92039291,428035.497111257 5453459.40356804,428036.526658698 5453456.27689997,428037.592499601 5453452.02677666,428039.712333355 5453449.86430257,428040.983028548 5453446.24526515,428039.63026742 5453443.58335106,428040.458328557 5453439.52535194,428038.274905771 5453435.70683564,428033.848535312 5453426.85865307,428033.049876187 5453422.0213681,428032.173105701 5453414.5499896,428030.389487225 5453406.77913978,428032.608601316 5453396.60995565,428035.031837118 5453392.03077416,428037.060710527 5453380.11845403,428043.740376929 5453368.5901165,428046.043572439 5453362.06674959);B
8;LINESTRING (425903.032766126 5457851.80727876,425904.970979971 5457858.49692457);A
9;LINESTRING (428715.410664829 5453540.31065845,428725.710083163 5453541.1335564,428735.561260791 5453540.51685622,428741.001184127 5453541.69174965,428747.751316422 5453538.89147716,428748.870898802 5453538.75468794,428752.491752927 5453535.52792622,428755.611115738 5453535.18737048,428758.759670759 5453537.10351368,428760.458546566 5453540.0946771,428761.809384077 5453546.0145334,428758.997663883 5453555.50171007,428759.565805317 5453569.02569143,428763.011563525 5453578.72100903,428764.356404199 5453584.74101098,428768.984160867 5453587.30514215,428778.045061069 5453585.83148724,428785.859187375 5453585.91945381,428790.271874631 5453587.6191333,428793.771836929 5453586.30635964,428797.024930232 5453581.10527205,428799.091970253 5453574.84101671,428828.821673655 5453562.97123078,428835.852148013 5453563.26953084,428841.184757937 5453560.08742098,428852.780068309 5453558.0808079,428860.778979252 5453556.68772184,428865.852061797 5453553.14207525,428870.831047325 5453553.02217457,428877.414091109 5453552.50353099,428889.612692433 5453546.46427583,428893.907609618 5453544.11839244,428911.638036523 5453545.24596852,428922.043046704 5453537.32865975,428931.671282001 5453534.66936814,428936.792343972 5453530.32263108,428949.099775487 5453530.45292148,428956.334557693 5453523.44382936,428973.371096777 5453521.57853832,428989.172770595 5453518.25045044,429001.963018139 5453521.37665181,429006.282306278 5453519.78660714,429015.25931967 5453512.92191503,429023.018312615 5453504.20501344,429040.697977491 5453494.60423005,429047.755759063 5453487.40852669,429055.335923691 5453484.58682448,429064.707296652 5453476.6719895,429075.089765879 5453463.58512938,429086.244692079 5453457.89331752,429104.813167795 5453436.42889849,429114.720611486 5453424.32666722,429119.363601678 5453411.66956401,429131.827415263 5453404.69348588,429137.67185251 5453402.21667405,429145.557656144 5453392.57548112,429152.17743081 5453390.93372228,429154.662362073 5453391.07965479,429163.319291676 5453391.5687089,429175.197559883 5453388.88091323,429179.339069048 5453392.14099212,429182.151572634 5453397.94207866,429194.675469477 5453392.23289006,429198.530216614 5453388.48085043,429203.136251463 5453381.99510609,429214.988269107 5453377.26191741,429221.384078346 5453373.48835542,429227.240020066 5453372.46802531,429232.306678382 5453372.35844714,429241.09324514 5453372.16772545,429247.138056126 5453371.11163441,429252.81568303 5453364.71223463,429255.815532337 5453362.42775059,429260.701045007 5453362.95428396,429268.023957756 5453362.76016754,429275.203260735 5453357.05309502,429305.041836381 5453332.50936809,429318.816806755 5453330.07550579,429336.157810622 5453329.75292657,429352.947724763 5453333.0176485,429373.371145906 5453322.64894197,429387.837501928 5453308.25393298,429399.648648231 5453300.30840879,429405.994658099 5453292.63308966,429408.620020441 5453284.41617957,429405.981497469 5453276.2667362,429398.627367174 5453269.48972875,429389.61393939 5453269.60527384,429355.683095895 5453238.57483982,429357.972019964 5453233.65331488,429374.141333458 5453230.52177519,429386.323904351 5453211.20829482,429399.269467546 5453209.94160533,429405.025718304 5453201.69568298,429413.808568204 5453201.19397096,429421.595985716 5453199.72659511,429427.141030563 5453205.11475637,429432.84543659 5453208.73303046,429445.137458098 5453207.60824498,429451.902051243 5453204.74195726,429462.289598325 5453189.66557774,429491.862677045 5453178.94667231,429514.265000941 5453191.13496163,429524.445385446 5453192.86149033,429536.546992019 5453192.21744423,429542.720629566 5453189.25876272,429558.091776895 5453179.50020253,429563.343586315 5453180.18910076,429580.503533061 5453191.29948792,429590.19741132 5453187.43972638,429595.941571807 5453178.79389738,429606.994600036 5453169.60212645,429604.886184995 5453160.17830511,429609.859380117 5453151.03089222,429619.706774604 5453150.0600458,429628.382651676 5453145.16821821);A
